rank,donor_j,donor_label_index,donor_label,donor_original_stl10_test_index,relmeaserr_uij_vs_yi,relmeaserr_xi_vs_yi,relmeaserr_xj_vs_yi,psnr_uij_vs_xi_clipped,uij_min,uij_max,clip_penalty_mean,range_penalty,quality_match_score,image
1,1902,4,deer,4941,2.664324425635587e-15,0.005359381186274673,0.8653635507465225,8.527575549769471,0.007822282735479635,0.9864345892715631,0.0,0.0,0.008966935279919642,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank001_u_i1789_j1902_deer_clipped.png
2,874,4,deer,7692,2.697821241596014e-15,0.005359381186274673,0.9471709375389925,8.450159857130691,0.03368306553331413,0.997431562394371,0.0,0.0,0.02089019733818586,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank002_u_i1789_j874_deer_clipped.png
3,777,4,deer,477,2.7095847809535306e-15,0.005359381186274673,0.8633846743717425,8.713288850603767,0.1008907980037623,0.9983503767977452,0.0,0.0,0.06116454715100051,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank003_u_i1789_j777_deer_clipped.png
4,1450,4,deer,5322,3.1575960021808614e-15,0.005359381186274673,0.9470099341615589,8.250203331153275,0.006346341051335025,0.9850355385206653,0.0,0.0,0.07686192427411913,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank004_u_i1789_j1450_deer_clipped.png
5,1890,0,airplane,741,2.646282530737039e-15,0.005359381186274673,0.856304636432332,8.992037674268035,0.07264141568790833,0.9645615716672079,0.0,0.0,0.1399222215709365,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank005_u_i1789_j1890_airplane_clipped.png
6,1529,4,deer,7231,2.523161150349582e-15,0.005359381186274673,0.8604494874245463,9.104822469698929,0.06562046194946924,0.9156289256033608,0.0,0.0,0.17108747919236542,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank006_u_i1789_j1529_deer_clipped.png
7,305,4,deer,5362,2.43698015584308e-15,0.005359381186274673,0.8556670970140909,9.145414815679594,0.07275388875909491,0.9719178774427109,0.0,0.0,0.1829315751079971,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank007_u_i1789_j305_deer_clipped.png
8,1143,4,deer,3722,2.5662816451786364e-15,0.005359381186274673,0.8377820598657347,9.234398876448143,0.09608268330582881,0.9599750759604375,0.0,0.0,0.2096356158380265,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank008_u_i1789_j1143_deer_clipped.png
9,1397,4,deer,2280,2.215251151310329e-15,0.005359381186274673,0.8035023014596806,9.24421253649269,0.023329741086716815,0.9744656402294524,0.0,0.0,0.2158114164911049,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank009_u_i1789_j1397_deer_clipped.png
10,602,1,bird,3692,2.7943160418335265e-15,0.005359381186274673,0.9010792782627024,8.789911436501708,0.11216098252249779,1.012337674151836,3.0121274784755746e-06,0.012337674151835953,0.2274788115853168,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank010_u_i1789_j602_bird_clipped.png
11,1947,3,cat,6324,2.4235698991210595e-15,0.005359381186274673,0.7855457541030691,9.176681085398874,-0.0030900566338223634,0.9297766743117406,7.544083578667879e-07,0.0030900566338223634,0.2358694735293101,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank011_u_i1789_j1947_cat_clipped.png
12,98,0,airplane,4893,2.4128480298440904e-15,0.005359381186274673,0.833312863459181,9.331571627844976,0.056329929654256955,0.9911051353018073,0.0,0.0,0.23729090586979518,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank012_u_i1789_j98_airplane_clipped.png
13,7,4,deer,7189,2.024703481452881e-15,0.005359381186274673,0.8224105880599618,9.248065530613834,-0.002231881694557847,0.9594892691401893,5.448929918354118e-07,0.002231881694557847,0.24184739367871172,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank013_u_i1789_j7_deer_clipped.png
14,1144,4,deer,3348,2.2995489239134367e-15,0.005359381186274673,0.8535997244760262,9.04739822688725,0.10220177227291138,1.008679750068721,2.1190796066213415e-06,0.008679750068721015,0.26010495787739396,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank014_u_i1789_j1144_deer_clipped.png
15,713,4,deer,5098,2.3913580826928605e-15,0.005359381186274673,0.7885382282464619,9.443346566972842,0.0871233400499816,0.9641539466042625,0.0,0.0,0.2730653523468695,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank015_u_i1789_j713_deer_clipped.png
16,1795,4,deer,7766,2.581620926211325e-15,0.005359381186274673,0.8488311697297637,9.521667858390273,0.032794375383788515,0.9755380245487381,0.0,0.0,0.2889660197954201,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank016_u_i1789_j1795_deer_clipped.png
17,53,5,dog,1250,2.4118687812642665e-15,0.005359381186274673,0.7805859596074658,9.507937203710835,0.005020448613925754,0.9974402021451935,0.0,0.0,0.29194595749740715,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank017_u_i1789_j53_dog_clipped.png
18,976,1,bird,5834,2.5133654453266536e-15,0.005359381186274673,0.811639173798007,9.52276771960523,0.0003827179599680819,0.9753320638867504,0.0,0.0,0.29299318052878376,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank018_u_i1789_j976_bird_clipped.png
19,612,7,monkey,63,2.5226977176217975e-15,0.005359381186274673,0.8246644497344379,9.560205714636096,0.0009065884220715859,0.979360985148186,0.0,0.0,0.30217329154378303,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank019_u_i1789_j612_monkey_clipped.png
20,797,7,monkey,6254,2.469611610596093e-15,0.005359381186274673,0.8289709080826934,9.562414350796853,0.021500995758066105,0.9920685608510811,0.0,0.0,0.30236106383396955,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank020_u_i1789_j797_monkey_clipped.png
21,559,4,deer,3481,2.337155457043741e-15,0.005359381186274673,0.8593135413677673,9.171517941940635,0.04874206708221726,1.0096216617565974,2.349038514794287e-06,0.0096216617565974,0.3056176317266652,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank021_u_i1789_j559_deer_clipped.png
22,317,3,cat,7967,2.390651751507288e-15,0.005359381186274673,0.820636710201815,9.003712654660742,-0.013873271311895141,0.9598465839925177,5.909245130517759e-06,0.013873271311895141,0.3139463738623499,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank022_u_i1789_j317_cat_clipped.png
23,154,7,monkey,3341,2.5746184957283615e-15,0.005359381186274673,0.895123869759566,8.74846624593009,0.002844550515813893,1.0208587262679862,5.092462467770078e-06,0.02085872626798624,0.31875610901555557,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank023_u_i1789_j154_monkey_clipped.png
24,1504,4,deer,2548,2.4843552226649193e-15,0.005359381186274673,0.7991037421928155,9.694008444346306,0.12408806820905938,0.8625351074169686,0.0,0.0,0.34219412661680393,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank024_u_i1789_j1504_deer_clipped.png
25,41,7,monkey,1101,2.448870781221111e-15,0.005359381186274673,0.7565776581848752,9.697773144735994,0.00916359618394888,0.9914425305625068,0.0,0.0,0.34750085112671064,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank025_u_i1789_j41_monkey_clipped.png
26,726,4,deer,4402,2.2809058750088863e-15,0.005359381186274673,0.7960793773189891,9.335952343145879,-0.010044404376871985,0.9916823391325361,4.181690561641273e-06,0.010044404376871985,0.3632755101579278,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank026_u_i1789_j726_deer_clipped.png
27,1367,0,airplane,4258,2.489430258450452e-15,0.005359381186274673,0.7766272365373568,9.765614789643859,0.0426893309865472,0.986792044623401,0.0,0.0,0.36449155386566473,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank027_u_i1789_j1367_airplane_clipped.png
28,999,1,bird,3079,2.289323657285176e-15,0.005359381186274673,0.7704847473796664,9.79638722241917,0.02097528412528908,0.994876519008874,0.0,0.0,0.37372208395852097,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank028_u_i1789_j999_bird_clipped.png
29,1296,5,dog,6307,2.668169865047261e-15,0.005359381186274673,0.8050009205655401,9.879195299303232,0.02703319683995764,0.976728613640029,0.0,0.0,0.39345672816747096,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank029_u_i1789_j1296_dog_clipped.png
30,536,5,dog,7517,2.287140498334491e-15,0.005359381186274673,0.7528406977055794,9.972031048445025,0.05143555264968022,0.8587083253289849,0.0,0.0,0.42466676021316907,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank030_u_i1789_j536_dog_clipped.png
31,1050,8,ship,2749,2.4097659756784954e-15,0.005359381186274673,0.7747729411202655,9.783194739874135,-0.005474658302543317,0.8877396692942039,1.3365864996443645e-06,0.005474658302543317,0.43545565948232834,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank031_u_i1789_j1050_ship_clipped.png
32,233,5,dog,6093,2.641506502719573e-15,0.005359381186274673,0.7753630732503006,10.03387700318613,-5.454256675314906e-05,0.9765898516811939,1.3316056336218032e-08,5.454256675314906e-05,0.4403874987140047,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank032_u_i1789_j233_dog_clipped.png
33,187,0,airplane,712,2.6731917603673288e-15,0.005359381186274673,0.8714367963199525,8.823029294491898,0.07898482980352214,1.0305087327478224,7.448421081011328e-06,0.030508732747822398,0.45808526274844613,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank033_u_i1789_j187_airplane_clipped.png
34,274,7,monkey,7030,2.3504491553211046e-15,0.005359381186274673,0.8024420515542173,10.125796553355828,0.012592746226524343,0.9823104297124107,0.0,0.0,0.46276096620333007,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank034_u_i1789_j274_monkey_clipped.png
35,985,7,monkey,2161,2.406494362905538e-15,0.005359381186274673,0.7619924397144908,10.116766736201681,0.01371175520549725,0.9297393966952583,0.0,0.0,0.46427757858414154,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank035_u_i1789_j985_monkey_clipped.png
36,1631,8,ship,2191,2.5365228023911995e-15,0.005359381186274673,0.7674661975068394,10.095593294371524,-0.002189487782511962,0.9707728326611001,5.345429156523344e-07,0.002189487782511962,0.48413963763248447,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank036_u_i1789_j1631_ship_clipped.png
37,679,0,airplane,5067,2.8266855818111507e-15,0.005359381186274673,0.8806590322183505,8.883442923766621,-0.03134708602465136,0.9806308876434426,1.241624188465872e-05,0.03134708602465136,0.48473523317391415,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank037_u_i1789_j679_airplane_clipped.png
38,1490,4,deer,3034,2.46050740139418e-15,0.005359381186274673,0.7533396220866725,10.228417151030778,0.16248884149436432,0.9767164071293755,0.0,0.0,0.4964049764990704,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank038_u_i1789_j1490_deer_clipped.png
39,105,4,deer,7244,2.0956684182740716e-15,0.005359381186274673,0.7085150677285121,10.235661777280791,0.06124275773816751,0.9259166144604017,0.0,0.0,0.5029159272848902,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank039_u_i1789_j105_deer_clipped.png
40,1235,3,cat,748,2.682673160435395e-15,0.005359381186274673,0.8830822176643853,9.142569505695935,-0.02725388947170601,0.9987854121898996,8.512321215932958e-06,0.02725388947170601,0.5074615284539272,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank040_u_i1789_j1235_cat_clipped.png
41,1787,4,deer,965,2.455955949164816e-15,0.005359381186274673,0.7919162285774007,9.323789084314344,-0.02262715695079487,0.9354840862869117,9.968973131734974e-06,0.02262715695079487,0.5119736173547427,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank041_u_i1789_j1787_deer_clipped.png
42,1754,1,bird,3548,2.0909708215812732e-15,0.005359381186274673,0.7349949305760844,10.283572446053256,0.022766023889699588,0.9341662939971853,0.0,0.0,0.5136829282564231,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank042_u_i1789_j1754_bird_clipped.png
